date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2004-01-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32.71,0.3339
2004-01-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,26.66,0.2722
2004-02-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,33.62,0.3409
2004-02-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,26.71,0.2708
2004-03-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32.92,0.3368
2004-03-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,26.63,0.2724
2004-04-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32.98,0.3369
2004-04-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,26.67,0.2725
2004-05-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,34.1,0.3451
2004-05-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,26.71,0.2703
2004-06-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,33.74,0.3334
2004-06-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,26.66,0.2634
2004-07-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,34.93,0.339
2004-07-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,26.63,0.2584
2004-08-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,34.78,0.3373
2004-08-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,26.7,0.259
2004-09-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,37.14,0.3595
2004-09-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,27.49,0.2661
2004-10-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,37.36,0.3593
2004-11-15,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,41.75,0.3983
2004-11-15,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,48.0,0.458
2004-11-15,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,52.5,0.5009
2004-11-15,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,39.0,0.3721
2004-11-15,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32.0,0.3053
2004-11-15,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,39.6,0.3778
2004-11-15,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,113.75,1.0853
2004-11-15,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,86.0,0.8205
2004-11-15,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32.0,0.3053
2004-11-15,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,45.0,0.4293
2004-11-15,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,42.75,0.4079
2004-11-15,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,38.5,0.3673
2004-11-15,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,33.5,0.3196
2004-11-15,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,45.0,0.4293
2004-11-15,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,42.5,0.4055
2004-11-15,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,39.5,0.3769
2004-12-15,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,75.0,0.7123
2004-12-15,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,68.0,0.6458
2004-12-15,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,63.5,0.603
2004-12-15,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,64.5,0.6125
2004-12-15,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,71.5,0.679
2004-12-15,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.0,0.2849
2004-12-15,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,70.0,0.6648
2004-12-15,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,55.0,0.5223
2004-12-15,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,65.0,0.6173
2004-12-15,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32.0,0.3039
2004-12-15,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,70.0,0.6648
2004-12-15,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,56.0,0.5318
2004-12-15,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,65.0,0.6173
2005-01-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,38.39,0.4009
2005-01-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,35.14,0.367
2005-02-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,36.25,0.3651
2005-02-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,29.27,0.2948
2005-03-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,33.99,0.3426
2005-03-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.79,0.3305
2005-04-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32.25,0.3238
2005-04-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.48,0.3261
2005-05-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31.66,0.3172
2005-05-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,30.68,0.3074
2005-06-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31.32,0.312
2005-06-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,28.02,0.2791
2005-07-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.47,0.3032
2005-07-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,27.54,0.274
2005-08-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,29.47,0.2922
2005-08-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,29.48,0.2923
2005-09-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.68,0.303
2005-09-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,29.66,0.2929
2005-10-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.83,0.3037
2005-11-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32.39,0.3181
2006-01-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,35.23,0.3459
2006-01-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,30.24,0.2969
2006-02-15,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,27.0,0.2642
2006-02-15,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.0,0.2936
2006-02-15,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32.0,0.3131
2006-02-15,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,29.0,0.2838
2006-02-15,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,28.0,0.274
2006-02-15,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,28.0,0.274
2006-02-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,33.08,0.3237
2006-02-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,30.98,0.3032
2006-03-15,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,25.0,0.2434
2006-03-15,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,30.5,0.297
2006-03-15,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,23.5,0.2288
2006-03-15,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,30.6,0.2979
2006-03-15,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,26.8,0.2609
2006-03-15,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,29.4,0.2862
2006-03-15,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.0,0.2921
2006-03-15,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,33.5,0.3262
2006-03-15,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,28.5,0.2775
2006-03-15,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.0,0.3116
2006-03-15,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,27.5,0.2677
2006-03-15,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.5,0.3164
2006-03-15,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,36.0,0.3505
2006-03-15,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,29.5,0.2872
2006-03-15,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.5,0.3164
2006-03-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31.0,0.3018
2006-03-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,31.76,0.3092
2006-04-15,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,27.5,0.2681
2006-04-15,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,33.5,0.3266
2006-04-15,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,36.66,0.3574
2006-04-15,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,31.0,0.3022
2006-04-15,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,34.0,0.3314
2006-04-15,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,31.0,0.3022
2006-04-15,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,28.5,0.2778
2006-04-15,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34.25,0.3339
2006-04-15,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,26.0,0.2535
2006-04-15,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,33.0,0.3217
2006-04-15,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,26.5,0.2583
2006-04-15,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.5,0.3168
2006-04-15,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,33.0,0.3217
2006-04-15,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,36.0,0.3509
2006-04-15,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,27.0,0.2632
2006-04-15,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.5,0.3168
2006-04-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.46,0.2969
2006-04-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34.56,0.3369
2006-05-15,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,25.0,0.2432
2006-05-15,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,16.0,0.1556
2006-05-15,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,36.16,0.3518
2006-05-15,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,31.6,0.3074
2006-05-15,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,29.6,0.2879
2006-05-15,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,29.75,0.2894
2006-05-15,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31.75,0.3089
2006-05-15,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34.0,0.3307
2006-05-15,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,27.5,0.2675
2006-05-15,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34.5,0.3356
2006-05-15,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.0,0.2918
2006-05-15,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.5,0.3161
2006-05-15,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,28.0,0.2724
2006-05-15,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,36.0,0.3502
2006-05-15,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,29.5,0.287
2006-05-15,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.5,0.3161
2006-05-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.77,0.2993
2006-05-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,33.88,0.3296
2006-06-15,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,26.5,0.256
2006-06-15,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,36.5,0.3526
2006-06-15,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,34.66,0.3349
2006-06-15,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,33.0,0.3188
2006-06-15,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.5,0.2947
2006-06-15,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.0,0.3091
2006-06-15,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31.0,0.2995
2006-06-15,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34.5,0.3333
2006-06-15,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,29.0,0.2802
2006-06-15,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,35.0,0.3381
2006-06-15,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.5,0.2947
2006-06-15,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34.0,0.3285
2006-06-15,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32.0,0.3091
2006-06-15,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,42.0,0.4058
2006-06-15,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.0,0.2898
2006-06-15,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,33.5,0.3236
2006-06-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.53,0.2949
2006-06-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34.26,0.331
2006-07-15,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,22.5,0.2164
2006-07-15,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,35.0,0.3367
2006-07-15,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,41.65,0.4006
2006-07-15,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,32.3,0.3107
2006-07-15,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.62,0.2946
2006-07-15,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,31.5,0.303
2006-07-15,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,35.0,0.3367
2006-07-15,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,35.5,0.3415
2006-07-15,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31.5,0.303
2006-07-15,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,35.0,0.3367
2006-07-15,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31.5,0.303
2006-07-15,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34.5,0.3319
2006-07-15,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.5,0.2934
2006-07-15,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,35.0,0.3367
2006-07-15,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.0,0.2886
2006-07-15,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,33.0,0.3174
2006-07-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31.07,0.2989
2006-07-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (white),KG,actual,Retail,LKR,30.25,0.291
2006-07-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,33.87,0.3258
2006-08-15,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32.0,0.3077
2006-08-15,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,35.0,0.3366
2006-08-15,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,33.66,0.3237
2006-08-15,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,31.3,0.301
2006-08-15,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.75,0.2957
2006-08-15,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,35.5,0.3414
2006-08-15,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,41.0,0.3943
2006-08-15,Northern,Jaffna,Jaffna,9.6567,80.0137,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,39.0,0.375
2006-08-15,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,32.0,0.3077
2006-08-15,Northern,Kilinochchi,Kilinochchi,9.3961,80.3982,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,57.5,0.5529
2006-08-15,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31.5,0.3029
2006-08-15,Northern,Mannar,Mannar,8.983333,79.9,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,35.0,0.3366
2006-08-15,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,37.5,0.3606
2006-08-15,Northern,Mullattivu,Mulaitivu,9.268,80.815,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,38.0,0.3654
2006-08-15,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31.5,0.3029
2006-08-15,Northern,Vavuniya,Vavuniya,8.75,80.5,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34.0,0.327
2006-08-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,30.86,0.2968
2006-08-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Rice (white),KG,actual,Retail,LKR,29.54,0.2841
2006-08-15,Western,Colombo,Colombo City,6.931944,79.847778,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34.89,0.3355
2006-09-15,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,22.5,0.2197
2006-09-15,Eastern,Ampara,Ampara,7.283333,81.666667,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,35.0,0.3417
2006-09-15,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,31.0,0.3026
2006-09-15,Eastern,Batticaloa,Batticaloa,7.716667,81.7,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,35.3,0.3446
2006-09-15,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Rice (red nadu),KG,actual,Retail,LKR,35.25,0.3441
2006-09-15,Eastern,Trincomalee,Trincomalee,8.566667,81.233333,cereals and tubers,Wheat flour,KG,actual,Retail,LKR,34.8,0.3397
